Año,Deuda pública,Producto Interior Bruto (PIB),Trimestre
1994,249507,0,283457
1995,283457,460588,319975
1996,319975,489203,333627
1997,333627,519268,346416
1998,346416,555993,362223
1999,362223,595723,374557
2000,374557,647851,378883
2001,378883,700993,384145
2002,384145,749552,382775
2003,382775,802266,389887
2004,389887,859437,393479
2005,393479,927357,392132
2006,392132,1003823,384661
2007,384661,1075539,440620
2008,440620,1109541,569535
2009,569535,1069323,649152
2010,649152,1072709,743043
2011,743043,1063763,889909
2012,889909,1031104,977311
2013,977311,1020677,1039388
2014,1039388,1032608,1070078
2015,1070078,1078092,1104553
2016,1104553,1114420,1145097
2017,1145097,1162492,1173350
2018,1173350,1203859,1188859
2019,1188859,1245513,1345569
2020,1345569,1117989,1427235
2021,1427235,1206842,1573235
